timestamp,event,candle_time,price,action,trend
2026-08-23T19:38:09.417151,MARKET_CLOSED,,,,
2026-08-23T19:38:09.418957,SESSION_STARTED,,,,
2026-08-23T19:38:09.424118,REPLAY_LOADED,,,,
2026-08-23T19:38:09.425327,CANDLE_RECEIVED,2026-08-24T09:15:00,100.0,,
2026-08-23T19:38:09.426593,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.438453,CANDLE_RECEIVED,2026-08-24T09:20:00,101.0,,
2026-08-23T19:38:09.449717,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.450921,CANDLE_RECEIVED,2026-08-24T09:25:00,102.0,,
2026-08-23T19:38:09.452271,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.453489,CANDLE_RECEIVED,2026-08-24T09:30:00,103.0,,
2026-08-23T19:38:09.456253,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.457388,CANDLE_RECEIVED,2026-08-24T09:35:00,104.0,,
2026-08-23T19:38:09.458736,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.464075,CANDLE_RECEIVED,2026-08-24T09:40:00,105.0,,
2026-08-23T19:38:09.465371,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.466690,CANDLE_RECEIVED,2026-08-24T09:45:00,106.0,,
2026-08-23T19:38:09.469851,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.471292,CANDLE_RECEIVED,2026-08-24T09:50:00,107.0,,
2026-08-23T19:38:09.472796,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.473977,CANDLE_RECEIVED,2026-08-24T09:55:00,108.0,,
2026-08-23T19:38:09.478053,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.479331,CANDLE_RECEIVED,2026-08-24T10:00:00,109.0,,
2026-08-23T19:38:09.481692,STRATEGY_EVALUATED,2026-08-24T10:00:00,,BUY,BULLISH
2026-08-23T19:38:09.482836,ENTRY_EVALUATED,,,,
2026-08-23T19:38:09.483197,CANDLE_RECEIVED,2026-08-24T10:05:00,110.0,,
2026-08-23T19:38:09.483642,STRATEGY_EVALUATED,2026-08-24T10:05:00,,BUY,BULLISH
2026-08-23T19:38:09.483940,CANDLE_RECEIVED,2026-08-24T10:10:00,111.0,,
2026-08-23T19:38:09.484341,STRATEGY_EVALUATED,2026-08-24T10:10:00,,BUY,BULLISH
2026-08-23T19:38:09.484695,CANDLE_RECEIVED,2026-08-24T10:15:00,112.0,,
2026-08-23T19:38:09.485706,STRATEGY_EVALUATED,2026-08-24T10:15:00,,BUY,BULLISH
